chipid,time,rssi
206414971736337,1747415175.2307127,-50
225179970183714,1747415175.2307127,-72
243944968631091,1747415175.2307127,-78
206414971736337,1747415175.4307127,-51
225179970183714,1747415175.4307127,-73
243944968631091,1747415175.4307127,-78
206414971736337,1747415175.6307127,-52
225179970183714,1747415175.6307127,-76
243944968631091,1747415175.6307127,-80
243944968631091,1747415175.8307126,-76
206414971736337,1747415175.8307126,-48
225179970183714,1747415175.8307126,-72
206414971736337,1747415176.0307126,-48
225179970183714,1747415176.0307126,-73
243944968631091,1747415176.0307126,-74
243944968631091,1747415176.2307127,-78
206414971736337,1747415176.2307127,-52
225179970183714,1747415176.2307127,-72
243944968631091,1747415176.4307127,-80
206414971736337,1747415176.4307127,-49
225179970183714,1747415176.4307127,-71
206414971736337,1747415176.6307127,-48
225179970183714,1747415176.6307127,-76
243944968631091,1747415176.6307127,-77
206414971736337,1747415176.8307126,-48
225179970183714,1747415176.8307126,-72
243944968631091,1747415176.8307126,-80
225179970183714,1747415177.0307126,-71
206414971736337,1747415177.0307126,-50
243944968631091,1747415177.0307126,-78
206414971736337,1747415177.2307127,-52
225179970183714,1747415177.2307127,-76
243944968631091,1747415177.2307127,-79
225179970183714,1747415177.4307127,-72
243944968631091,1747415177.4307127,-80
206414971736337,1747415177.4307127,-49
243944968631091,1747415177.6307127,-76
206414971736337,1747415177.6307127,-51
225179970183714,1747415177.6307127,-75
206414971736337,1747415177.8307126,-49
225179970183714,1747415177.8307126,-74
243944968631091,1747415177.8307126,-79
206414971736337,1747415178.0307126,-50
225179970183714,1747415178.0307126,-77
243944968631091,1747415178.0307126,-81
243944968631091,1747415178.2307127,-84
225179970183714,1747415178.2307127,-71
206414971736337,1747415178.2307127,-50
206414971736337,1747415178.4307127,-50
225179970183714,1747415178.4307127,-72
243944968631091,1747415178.4307127,-79
206414971736337,1747415178.6307127,-51
225179970183714,1747415178.6307127,-71
243944968631091,1747415178.6307127,-83
243944968631091,1747415178.8307126,-79
225179970183714,1747415178.8307126,-76
206414971736337,1747415178.8307126,-53
206414971736337,1747415179.0307126,-46
225179970183714,1747415179.0307126,-72
243944968631091,1747415179.0307126,-79
206414971736337,1747415179.2307127,-49
225179970183714,1747415179.2307127,-72
243944968631091,1747415179.2307127,-77
206414971736337,1747415179.4307127,-51
225179970183714,1747415179.4307127,-72
243944968631091,1747415179.4307127,-74
243944968631091,1747415179.6307127,-79
206414971736337,1747415179.6307127,-50
225179970183714,1747415179.6307127,-74
225179970183714,1747415179.8307126,-70
243944968631091,1747415179.8307126,-76
206414971736337,1747415179.8307126,-49
243944968631091,1747415180.0307126,-80
225179970183714,1747415180.0307126,-71
206414971736337,1747415180.0307126,-49
206414971736337,1747415180.2307127,-50
225179970183714,1747415180.2307127,-69
243944968631091,1747415180.2307127,-75
206414971736337,1747415180.4307127,-49
225179970183714,1747415180.4307127,-74
243944968631091,1747415180.4307127,-77
243944968631091,1747415180.6307127,-80
225179970183714,1747415180.6307127,-74
206414971736337,1747415180.6307127,-50
206414971736337,1747415180.8307126,-46
225179970183714,1747415180.8307126,-73
243944968631091,1747415180.8307126,-82
206414971736337,1747415181.0307126,-50
225179970183714,1747415181.0307126,-75
243944968631091,1747415181.0307126,-80
243944968631091,1747415181.2307127,-78
225179970183714,1747415181.2307127,-74
206414971736337,1747415181.2307127,-51
206414971736337,1747415181.4307127,-47
225179970183714,1747415181.4307127,-71
243944968631091,1747415181.4307127,-82
206414971736337,1747415181.6307127,-51
225179970183714,1747415181.6307127,-74
243944968631091,1747415181.6307127,-78
243944968631091,1747415181.8307126,-79
225179970183714,1747415181.8307126,-70
206414971736337,1747415181.8307126,-49
206414971736337,1747415182.0307126,-48
225179970183714,1747415182.0307126,-71
243944968631091,1747415182.0307126,-82
206414971736337,1747415182.2307127,-47
225179970183714,1747415182.2307127,-70
243944968631091,1747415182.2307127,-78
225179970183714,1747415182.4307127,-71
243944968631091,1747415182.4307127,-80
206414971736337,1747415182.4307127,-51
206414971736337,1747415182.6307127,-47
225179970183714,1747415182.6307127,-74
243944968631091,1747415182.6307127,-79
206414971736337,1747415182.8307126,-51
225179970183714,1747415182.8307126,-71
243944968631091,1747415182.8307126,-78
243944968631091,1747415183.0307126,-76
225179970183714,1747415183.0307126,-71
206414971736337,1747415183.0307126,-51
206414971736337,1747415183.2307127,-52
225179970183714,1747415183.2307127,-73
243944968631091,1747415183.2307127,-81
206414971736337,1747415183.4307127,-48
225179970183714,1747415183.4307127,-74
243944968631091,1747415183.4307127,-78
243944968631091,1747415183.6307127,-74
225179970183714,1747415183.6307127,-76
206414971736337,1747415183.6307127,-53
206414971736337,1747415183.8307126,-49
225179970183714,1747415183.8307126,-69
243944968631091,1747415183.8307126,-81
206414971736337,1747415184.0307126,-50
225179970183714,1747415184.0307126,-74
243944968631091,1747415184.0307126,-80
243944968631091,1747415184.2307127,-78
225179970183714,1747415184.2307127,-76
206414971736337,1747415184.2307127,-46
206414971736337,1747415184.4307127,-49
225179970183714,1747415184.4307127,-71
243944968631091,1747415184.4307127,-79
206414971736337,1747415184.6307127,-48
225179970183714,1747415184.6307127,-73
243944968631091,1747415184.6307127,-79
225179970183714,1747415184.8307126,-73
243944968631091,1747415184.8307126,-78
206414971736337,1747415184.8307126,-46
225179970183714,1747415185.0307126,-73
243944968631091,1747415185.0307126,-80
206414971736337,1747415185.0307126,-48
206414971736337,1747415185.2307127,-53
225179970183714,1747415185.2307127,-70
243944968631091,1747415185.2307127,-79
206414971736337,1747415185.4307127,-50
225179970183714,1747415185.4307127,-73
243944968631091,1747415185.4307127,-78
243944968631091,1747415185.6307127,-79
225179970183714,1747415185.6307127,-71
206414971736337,1747415185.6307127,-49
206414971736337,1747415185.8307126,-51
225179970183714,1747415185.8307126,-72
243944968631091,1747415185.8307126,-80
206414971736337,1747415186.0307126,-49
225179970183714,1747415186.0307126,-72
243944968631091,1747415186.0307126,-73
243944968631091,1747415186.2307127,-77
225179970183714,1747415186.2307127,-72
206414971736337,1747415186.2307127,-48
206414971736337,1747415186.4307127,-49
225179970183714,1747415186.4307127,-72
243944968631091,1747415186.4307127,-83
206414971736337,1747415186.6307127,-50
225179970183714,1747415186.6307127,-75
243944968631091,1747415186.6307127,-81
243944968631091,1747415186.8307126,-80
225179970183714,1747415186.8307126,-72
206414971736337,1747415186.8307126,-47
206414971736337,1747415187.0307126,-51
225179970183714,1747415187.0307126,-67
243944968631091,1747415187.0307126,-79
206414971736337,1747415187.2307127,-51
225179970183714,1747415187.2307127,-72
243944968631091,1747415187.2307127,-75
225179970183714,1747415187.4307127,-72
243944968631091,1747415187.4307127,-82
206414971736337,1747415187.4307127,-49
206414971736337,1747415187.6307127,-52
225179970183714,1747415187.6307127,-74
243944968631091,1747415187.6307127,-78
206414971736337,1747415187.8307126,-48
225179970183714,1747415187.8307126,-71
243944968631091,1747415187.8307126,-77
243944968631091,1747415188.0307126,-80
225179970183714,1747415188.0307126,-72
206414971736337,1747415188.0307126,-49
206414971736337,1747415188.2307127,-44
225179970183714,1747415188.2307127,-72
243944968631091,1747415188.2307127,-78
206414971736337,1747415188.4307127,-49
225179970183714,1747415188.4307127,-75
243944968631091,1747415188.4307127,-78
243944968631091,1747415188.6307127,-79
225179970183714,1747415188.6307127,-72
206414971736337,1747415188.6307127,-55
206414971736337,1747415188.8307126,-47
225179970183714,1747415188.8307126,-73
243944968631091,1747415188.8307126,-77
206414971736337,1747415189.0307126,-49
225179970183714,1747415189.0307126,-69
243944968631091,1747415189.0307126,-81
243944968631091,1747415189.2307127,-82
225179970183714,1747415189.2307127,-70
206414971736337,1747415189.2307127,-45
206414971736337,1747415189.4307127,-48
225179970183714,1747415189.4307127,-74
243944968631091,1747415189.4307127,-76
206414971736337,1747415189.6307127,-46
225179970183714,1747415189.6307127,-73
243944968631091,1747415189.6307127,-76
225179970183714,1747415189.8307126,-72
243944968631091,1747415189.8307126,-76
206414971736337,1747415189.8307126,-48
243944968631091,1747415190.0307126,-78
206414971736337,1747415190.0307126,-45
225179970183714,1747415190.0307126,-73
206414971736337,1747415190.2307127,-50
225179970183714,1747415190.2307127,-74
243944968631091,1747415190.2307127,-77
206414971736337,1747415190.4307127,-49
225179970183714,1747415190.4307127,-73
243944968631091,1747415190.4307127,-79
243944968631091,1747415190.6307127,-76
225179970183714,1747415190.6307127,-71
206414971736337,1747415190.6307127,-49
206414971736337,1747415190.8307126,-48
225179970183714,1747415190.8307126,-71
243944968631091,1747415190.8307126,-76
206414971736337,1747415191.0307126,-51
225179970183714,1747415191.0307126,-75
243944968631091,1747415191.0307126,-81
243944968631091,1747415191.2307127,-78
225179970183714,1747415191.2307127,-72
206414971736337,1747415191.2307127,-48
206414971736337,1747415191.4307127,-47
225179970183714,1747415191.4307127,-72
243944968631091,1747415191.4307127,-79
206414971736337,1747415191.6307127,-47
225179970183714,1747415191.6307127,-73
243944968631091,1747415191.6307127,-80
243944968631091,1747415191.8307126,-77
225179970183714,1747415191.8307126,-76
206414971736337,1747415191.8307126,-50
206414971736337,1747415192.0307126,-49
225179970183714,1747415192.0307126,-70
243944968631091,1747415192.0307126,-74
206414971736337,1747415192.2307127,-49
225179970183714,1747415192.2307127,-70
243944968631091,1747415192.2307127,-80
243944968631091,1747415192.4307127,-78
206414971736337,1747415192.4307127,-50
225179970183714,1747415192.4307127,-72
206414971736337,1747415192.6307127,-50
225179970183714,1747415192.6307127,-73
243944968631091,1747415192.6307127,-79
206414971736337,1747415192.8307126,-48
225179970183714,1747415192.8307126,-73
243944968631091,1747415192.8307126,-77
243944968631091,1747415193.0307126,-80
225179970183714,1747415193.0307126,-72
206414971736337,1747415193.0307126,-50
206414971736337,1747415193.2307127,-49
225179970183714,1747415193.2307127,-73
243944968631091,1747415193.2307127,-76
206414971736337,1747415193.4307127,-51
225179970183714,1747415193.4307127,-73
243944968631091,1747415193.4307127,-75
243944968631091,1747415193.6307127,-81
206414971736337,1747415193.6307127,-49
225179970183714,1747415193.6307127,-73
206414971736337,1747415193.8307126,-53
225179970183714,1747415193.8307126,-71
243944968631091,1747415193.8307126,-76
206414971736337,1747415194.0307126,-48
225179970183714,1747415194.0307126,-72
243944968631091,1747415194.0307126,-81
206414971736337,1747415194.2307127,-54
225179970183714,1747415194.2307127,-74
243944968631091,1747415194.2307127,-81
225179970183714,1747415194.4307127,-73
206414971736337,1747415194.4307127,-47
243944968631091,1747415194.4307127,-76
225179970183714,1747415194.6307127,-78
206414971736337,1747415194.6307127,-48
243944968631091,1747415194.6307127,-81

